# ----------------------------------------
# External Traffic
# Browser & OS
# 20141001-20141031
# ----------------------------------------

Screen Resolution,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
1366x768,"2,284",79.60%,"1,818",69.40%,1.93,00:02:14,0.00%,0,€0.00
1920x1080,"2,013",72.28%,"1,455",71.93%,2.02,00:02:18,0.00%,0,€0.00
1280x1024,"1,217",72.14%,878,74.53%,1.90,00:02:05,0.00%,0,€0.00
1680x1050,"1,052",68.16%,717,74.62%,1.93,00:01:46,0.00%,0,€0.00
1440x900,921,77.85%,717,74.05%,1.73,00:01:45,0.00%,0,€0.00
1280x800,865,80.00%,692,71.91%,1.76,00:01:37,0.00%,0,€0.00
1600x900,737,76.39%,563,72.86%,1.80,00:02:02,0.00%,0,€0.00
1920x1200,441,64.85%,286,73.92%,1.87,00:01:55,0.00%,0,€0.00
1024x768,192,88.02%,169,73.96%,2.07,00:01:32,0.00%,0,€0.00
2560x1440,137,67.15%,92,61.31%,1.86,00:02:02,0.00%,0,€0.00
1280x720,134,82.84%,111,66.42%,2.16,00:01:15,0.00%,0,€0.00
1536x864,118,78.81%,93,72.03%,1.78,00:01:45,0.00%,0,€0.00
320x568,104,84.62%,88,75.00%,1.89,00:01:18,0.00%,0,€0.00
768x1024,91,83.52%,76,67.03%,2.66,00:02:11,0.00%,0,€0.00
1360x768,70,77.14%,54,74.29%,1.69,00:01:08,0.00%,0,€0.00
360x640,70,71.43%,50,77.14%,2.06,00:02:06,0.00%,0,€0.00
1600x1200,62,80.65%,50,82.26%,1.32,00:01:22,0.00%,0,€0.00
1344x840,56,44.64%,25,53.57%,3.11,00:04:39,0.00%,0,€0.00
320x480,51,80.39%,41,72.55%,1.61,00:00:55,0.00%,0,€0.00
1093x614,41,80.49%,33,78.05%,1.76,00:01:42,0.00%,0,€0.00
1280x768,38,60.53%,23,68.42%,2.63,00:02:41,0.00%,0,€0.00
1024x600,35,94.29%,33,85.71%,1.37,00:01:23,0.00%,0,€0.00
1024x819,34,64.71%,22,70.59%,2.38,00:03:00,0.00%,0,€0.00
1536x960,27,48.15%,13,81.48%,1.33,00:01:32,0.00%,0,€0.00
1080x1920,23,21.74%,5,56.52%,2.17,00:02:49,0.00%,0,€0.00
1152x864,21,85.71%,18,85.71%,1.90,00:01:54,0.00%,0,€0.00
1301x731,21,38.10%,8,57.14%,5.00,00:05:17,0.00%,0,€0.00
1364x768,18,50.00%,9,94.44%,1.11,00:00:38,0.00%,0,€0.00
1152x720,17,70.59%,12,76.47%,1.41,00:00:30,0.00%,0,€0.00
232x70,14,7.14%,1,71.43%,1.43,00:06:02,0.00%,0,€0.00
360x592,12,83.33%,10,91.67%,1.08,00:00:03,0.00%,0,€0.00
1280x960,11,72.73%,8,63.64%,3.36,00:10:42,0.00%,0,€0.00
1466x916,11,36.36%,4,63.64%,1.64,00:02:02,0.00%,0,€0.00
480x800,11,100.00%,11,90.91%,1.09,00:00:16,0.00%,0,€0.00
1843x1037,10,70.00%,7,60.00%,2.70,00:03:05,0.00%,0,€0.00
2021x1137,10,90.00%,9,80.00%,1.70,00:00:19,0.00%,0,€0.00
1024x1280,9,44.44%,4,77.78%,1.22,00:01:01,0.00%,0,€0.00
1024x640,9,100.00%,9,77.78%,1.67,00:02:04,0.00%,0,€0.00
1242x698,9,88.89%,8,77.78%,3.33,00:01:40,0.00%,0,€0.00
1438x808,9,77.78%,7,55.56%,2.11,00:00:26,0.00%,0,€0.00
2048x1152,9,88.89%,8,88.89%,2.89,00:05:29,0.00%,0,€0.00
2560x1600,9,66.67%,6,77.78%,1.22,00:00:09,0.00%,0,€0.00
375x667,9,100.00%,9,100.00%,1.00,00:00:00,0.00%,0,€0.00
960x540,9,22.22%,2,88.89%,2.22,00:00:13,0.00%,0,€0.00
1229x983,8,62.50%,5,75.00%,1.38,00:00:06,0.00%,0,€0.00
1440x960,8,62.50%,5,62.50%,1.50,00:00:29,0.00%,0,€0.00
1516x947,8,12.50%,1,50.00%,1.75,00:02:22,0.00%,0,€0.00
1745x982,8,75.00%,6,87.50%,1.38,00:02:35,0.00%,0,€0.00
1772x1108,8,62.50%,5,87.50%,1.25,00:00:22,0.00%,0,€0.00
320x534,8,100.00%,8,75.00%,2.12,00:03:38,0.00%,0,€0.00
800x600,8,87.50%,7,50.00%,3.25,00:05:11,0.00%,0,€0.00
1069x855,7,42.86%,3,57.14%,1.86,00:01:28,0.00%,0,€0.00
1200x1920,7,42.86%,3,85.71%,1.14,00:00:15,0.00%,0,€0.00
1600x1000,7,57.14%,4,57.14%,1.71,00:00:39,0.00%,0,€0.00
720x1280,7,100.00%,7,71.43%,1.29,00:00:25,0.00%,0,€0.00
1097x617,6,66.67%,4,83.33%,2.83,00:01:01,0.00%,0,€0.00
1120x700,6,50.00%,3,50.00%,4.17,00:01:52,0.00%,0,€0.00
1188x668,6,100.00%,6,100.00%,1.00,00:00:00,0.00%,0,€0.00
1347x1078,6,50.00%,3,33.33%,6.83,00:02:48,0.00%,0,€0.00
1350x1080,6,83.33%,5,100.00%,1.00,00:00:00,0.00%,0,€0.00
1368x768,6,100.00%,6,100.00%,1.00,00:00:00,0.00%,0,€0.00
1371x771,6,66.67%,4,50.00%,2.17,00:00:41,0.00%,0,€0.00
1400x1050,6,83.33%,5,66.67%,1.50,00:00:17,0.00%,0,€0.00
1422x1138,6,33.33%,2,50.00%,1.67,00:00:23,0.00%,0,€0.00
1518x853,6,66.67%,4,83.33%,2.50,00:00:28,0.00%,0,€0.00
2025x1139,6,33.33%,2,83.33%,2.00,00:00:21,0.00%,0,€0.00
601x914,6,16.67%,1,83.33%,1.33,00:01:14,0.00%,0,€0.00
1317x823,5,80.00%,4,80.00%,1.20,00:03:17,0.00%,0,€0.00
1402x877,5,60.00%,3,100.00%,1.00,00:00:00,0.00%,0,€0.00
1440x810,5,40.00%,2,60.00%,1.40,00:01:01,0.00%,0,€0.00
1455x818,5,100.00%,5,100.00%,1.00,00:00:00,0.00%,0,€0.00
1670x939,5,60.00%,3,80.00%,2.40,00:00:20,0.00%,0,€0.00
357x595,5,60.00%,3,60.00%,3.40,00:04:22,0.00%,0,€0.00
1050x1680,4,75.00%,3,50.00%,2.75,00:00:27,0.00%,0,€0.00
1170x936,4,50.00%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
1200x1600,4,75.00%,3,75.00%,2.25,00:01:17,0.00%,0,€0.00
1219x975,4,100.00%,4,75.00%,1.50,00:00:14,0.00%,0,€0.00
1231x692,4,100.00%,4,75.00%,1.25,00:00:48,0.00%,0,€0.00
1324x745,4,75.00%,3,75.00%,1.50,00:05:00,0.00%,0,€0.00
1429x1143,4,75.00%,3,75.00%,1.75,00:09:07,0.00%,0,€0.00
1441x810,4,75.00%,3,100.00%,1.00,00:00:00,0.00%,0,€0.00
1461x913,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,€0.00
1524x857,4,100.00%,4,75.00%,1.25,00:00:02,0.00%,0,€0.00
1778x1000,4,75.00%,3,75.00%,1.25,00:00:03,0.00%,0,€0.00
1829x1029,4,100.00%,4,75.00%,3.25,00:06:04,0.00%,0,€0.00
1843x1152,4,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
2048x1280,4,25.00%,1,75.00%,1.25,00:00:03,0.00%,0,€0.00
2133x1200,4,50.00%,2,75.00%,2.25,00:00:55,0.00%,0,€0.00
480x854,4,75.00%,3,50.00%,9.50,00:05:02,0.00%,0,€0.00
800x1280,4,75.00%,3,100.00%,1.00,00:00:00,0.00%,0,€0.00
1067x600,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,€0.00
1117x894,3,66.67%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
1120x840,3,66.67%,2,33.33%,3.00,00:08:12,0.00%,0,€0.00
1138x640,3,100.00%,3,66.67%,1.67,00:00:15,0.00%,0,€0.00
1333x750,3,66.67%,2,66.67%,1.33,00:00:15,0.00%,0,€0.00
1371x857,3,66.67%,2,66.67%,6.33,00:23:51,0.00%,0,€0.00
1382x864,3,33.33%,1,0.00%,2.33,00:12:16,0.00%,0,€0.00
1391x783,3,33.33%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1422x800,3,33.33%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1519x949,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,€0.00
1525x857,3,100.00%,3,33.33%,1.67,00:00:52,0.00%,0,€0.00
1603x902,3,66.67%,2,33.33%,3.33,00:02:28,0.00%,0,€0.00
1607x904,3,100.00%,3,66.67%,1.33,00:01:29,0.00%,0,€0.00
1706x1066,3,100.00%,3,66.67%,2.33,00:00:21,0.00%,0,€0.00
1707x960,3,0.00%,0,33.33%,6.00,00:17:24,0.00%,0,€0.00
1768x1105,3,100.00%,3,66.67%,1.67,00:05:06,0.00%,0,€0.00
1875x1172,3,100.00%,3,66.67%,1.67,00:00:11,0.00%,0,€0.00
2400x1350,3,66.67%,2,33.33%,3.33,00:00:49,0.00%,0,€0.00
2560x1080,3,100.00%,3,66.67%,1.33,00:00:17,0.00%,0,€0.00
290x305,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,€0.00
383x638,3,100.00%,3,66.67%,2.00,00:00:37,0.00%,0,€0.00
540x960,3,100.00%,3,66.67%,1.33,00:01:21,0.00%,0,€0.00
948x759,3,100.00%,3,33.33%,3.00,00:02:34,0.00%,0,€0.00
1092x614,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
1129x635,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1164x931,2,50.00%,1,50.00%,4.00,00:01:45,0.00%,0,€0.00
1167x729,2,50.00%,1,50.00%,4.00,00:00:48,0.00%,0,€0.00
1184x666,2,50.00%,1,0.00%,6.00,00:07:11,0.00%,0,€0.00
1185x667,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
1191x670,2,50.00%,1,0.00%,5.00,00:01:26,0.00%,0,€0.00
1229x691,2,50.00%,1,0.00%,3.00,00:04:38,0.00%,0,€0.00
1250x781,2,50.00%,1,50.00%,2.00,00:00:32,0.00%,0,€0.00
1257x785,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
1276x928,2,50.00%,1,50.00%,3.00,00:04:36,0.00%,0,€0.00
1280x968,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
1311x737,2,100.00%,2,0.00%,2.00,00:07:52,0.00%,0,€0.00
1396x1047,2,50.00%,1,50.00%,1.00,00:00:34,0.00%,0,€0.00
1463x823,2,0.00%,0,50.00%,1.50,00:00:09,0.00%,0,€0.00
1477x831,2,100.00%,2,0.00%,4.50,00:07:47,0.00%,0,€0.00
1524x1143,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1527x955,2,100.00%,2,50.00%,1.50,00:02:53,0.00%,0,€0.00
1619x910,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
1670x1043,2,50.00%,1,50.00%,4.00,00:00:40,0.00%,0,€0.00
1676x943,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
1688x949,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
